name,screen_name
Rep. Joe Kennedy III,RepJoeKennedy
Rep. Alan Lowenthal,RepLowenthal
US Rep. Rick Nolan,USRepRickNolan
Grace Meng,RepGraceMeng
Rep. Kevin Cramer,RepKevinCramer
Rep. Luke Messer,RepLukeMesser
Rep. Dan Kildee,RepDanKildee
Mark Takano,RepMarkTakano
Rep. Daniel Lipinski,RepLipinski
Rep. Suzan DelBene,RepDelBene
US Rep Rodney Davis,RodneyDavis
Dave Joyce,RepDaveJoyce
Thomas Massie,RepThomasMassie
Elizabeth Warren,SenWarren
Tom Cotton,SenTomCotton
Mark Meadows,RepMarkMeadows
"Rep. Andy Harris, MD",RepAndyHarrisMD
Congressman Ami Bera,RepBera
Rep Robert Pittenger,reppittenger
Sen. Maggie Hassan,SenatorHassan
Rep. Eric Swalwell,RepSwalwell
Rep. John Delaney,RepJohnDelaney
Rep. Mike Kelly,MikeKellyPA
Richard Hudson,RepRichHudson
Rep. Pat Tiberi,PatTiberi
Sensenbrenner Press,JimPressOffice
David Rouzer,RepDavidRouzer
Dana Rohrabacher,RepRohrabacher
Rep. Danny Davis,RepDannyDavis
Elijah E. Cummings,RepCummings
Matt Cartwright,RepCartwright
Ro Khanna,RoKhannaUSA
Rep. Leonard Lance,RepLanceNJ7
Senator Mike Crapo,MikeCrapo
Lacy Clay MO1st,LacyClayMO1
Rep. Doug Lamborn,RepDLamborn
Marcy Kaptur,RepMarcyKaptur
Suzanne Bonamici,RepBonamici
Senator Thad Cochran,SenThadCochran
Hal Rogers,RepHalRogers
Brad Wenstrup,RepBradWenstrup
Rep. Betty McCollum,BettyMcCollum04
Senator Jon Tester,SenatorTester
Dave Loebsack,daveloebsack
Senator Jack Reed,SenJackReed
Rep. Roybal-Allard,RepRoybalAllard
Sen Dianne Feinstein,SenFeinstein
Hakeem Jeffries,RepJeffries
Rep. Jared Polis,RepJaredPolis
Rep. Richard Neal,RepRichardNeal
Office of Sen. Coons,SenCoonsOffice
Rep. Susan Davis,RepSusanDavis
G. K. Butterfield,GKButterfield
Rep. Rick Larsen,RepRickLarsen
RepMarkAmodei,MarkAmodeiNV2
Jerry McNerney,RepMcNerney
Rep. John Yarmuth,RepJohnYarmuth
Senator John Hoeven,SenJohnHoeven
Rep. Terri A. Sewell,RepTerriSewell
Mac Thornberry Press,MacTXPress
Rep. John Sarbanes,RepSarbanes
Rep. Devin Nunes,Rep_DevinNunes
Sen. McConnell Press,McConnellPress
Rep. Jared Huffman,JaredHuffman
Indian Affairs Cmte,IndianCommittee
VP Biden (Archived),VP44
David Young,RepDavidYoung
Linda T. Sánchez,RepLindaSanchez
Rep. Stephen Lynch,RepStephenLynch
Dutch Ruppersberger,Call_Me_Dutch
Bobby L. Rush,RepBobbyRush
Mike Thompson,RepThompson
Cong. Steven Palazzo,CongPalazzo
Senator John Thune,SenJohnThune
Rep. Adrian Smith,RepAdrianSmith
Mike Conaway,ConawayTX11
Senator Patty Murray,PattyMurray
Mike Enzi,SenatorEnzi
HouseVetAffairs,HouseVetAffairs
Daniel Webster,RepWebster
Marsha Blackburn,MarshaBlackburn
Richard Blumenthal,SenBlumenthal
SenateEnergyDems,EnergyDems
SASC Majority,SASCMajority
Rep. Zoe Lofgren,RepZoeLofgren
Rep Cedric Richmond,RepRichmond
Dean Heller,SenDeanHeller
Senator Roger Wicker,SenatorWicker
Senator Hatch Office,senorrinhatch
Carolyn  B. Maloney,RepMaloney
Joe Wilson,RepJoeWilson
Rep. Kevin Yoder,RepKevinYoder
Tom Reed,RepTomReed
Rep Peter DeFazio,RepPeterDeFazio
Ron Wyden,RonWyden
Senator Tom Carper,SenatorCarper
"Sanford Bishop, Jr.",SanfordBishop
Rep. Anna G. Eshoo,RepAnnaEshoo
Sam Johnson,SamsPressShop
Patrick Meehan,RepMeehan
Rep. Barbara Lee,RepBarbaraLee
Jeff Denham,RepJeffDenham
Seth Moulton,sethmoulton
Senator Dick Durbin,SenatorDurbin
Ed Royce,RepEdRoyce
House Judiciary Dems,HouseJudDems
Raúl R. Labrador,Raul_Labrador
Rep. Jim Costa,RepJimCosta
JaimeHerreraBeutler,HerreraBeutler
Niki Tsongas,nikiinthehouse
Rep. Scott Tipton,RepTipton
Sen. Patrick Leahy,SenatorLeahy
Frank Lucas,RepFrankLucas
Dr. Dan Benishek,CongressmanDan
Sheldon Whitehouse,SenWhitehouse
Jim McGovern,RepMcGovern
Rep. Charlie Dent,RepCharlieDent
Frank LoBiondo,RepLoBiondo
Yvette D. Clarke,RepYvetteClarke
"Rep. Paul Gosar, DDS",RepGosar
David B. McKinley,RepMcKinley
Rep. Jeff Duncan,RepJeffDuncan
Rep. Tom Marino,RepTomMarino
HomelandSecurityCmte,HouseHomeland
Congressmember Bass,RepKarenBass
Rep. Lou Barletta,RepLouBarletta
Rep Tim Walberg,RepWalberg
Rep. Randy Hultgren,RepHultgren
Rep. Vicky Hartzler,RepHartzler
Rep. Steve Chabot,RepSteveChabot
Trey Gowdy,TGowdySC
Rep. Bill Flores,RepBillFlores
Mo Brooks,RepMoBrooks
Rep. Jim Renacci,RepJimRenacci
Senator Gary Peters,SenGaryPeters
Rep. Norma Torres,NormaJTorres
Colleen Hanabusa,RepHanabusa
Scott DesJarlais,DesJarlaisTN04
Steve Pearce,RepStevePearce
Rep. Kristi Noem,RepKristiNoem
Cory Gardner,SenCoryGardner
Chuck Fleischmann,RepChuck
Rep. Bob Gibbs,RepBobGibbs
"Larry Bucshon, MD",RepLarryBucshon
Rep. Austin Scott,AustinScottGA08
House Ag Committee,HouseAgNews
Rep. Steve Womack,rep_stevewomack
Senator Joe Manchin,Sen_JoeManchin
Senator Todd Young,SenToddYoung
Morgan Griffith,RepMGriffith
Sean Duffy,RepSeanDuffy
Rep Frederica Wilson,RepWilson
Rep. Bill Huizenga,RepHuizenga
Justin Amash,justinamash
Senator Ron Johnson,SenRonJohnson
Senate Ag Democrats,SenateAgDems
Rep Rick Crawford,RepRickCrawford
Bill Keating,USRepKeating
Joaquin Castro,JoaquinCastrotx
Brendan Boyle,RepBrendanBoyle
Rep David Schweikert,RepDavid
Sen. James Lankford,SenatorLankford
CHA Republicans,HouseAdmnGOP
Rep. Martha Roby,RepMarthaRoby
Michael F. Bennet,SenBennetCO
Nita Lowey,NitaLowey
Senator Pat Toomey,SenToomey
Adam Kinzinger,RepKinzinger
Tim Scott,SenatorTimScott
Senator Rand Paul,RandPaul
Senator Joe Donnelly,SenDonnelly
Bill Johnson,RepBillJohnson
Steve Stivers,RepSteveStivers
Rep. Henry Cuellar,RepCuellar
Sen. John Barrasso,SenJohnBarrasso
André Carson,RepAndreCarson
Rep. Pete Visclosky,RepVisclosky
Shelley Moore Capito,SenCapito
Judy Chu,RepJudyChu
Tom Graves,RepTomGraves
James E. Clyburn,Clyburn
Senator Tim Kaine,timkaine
Senate Budget Cmte,SenateBudget
Senator Bob Casey,SenBobCasey
David Scott,repdavidscott
US Rep E.B.Johnson,RepEBJ
Rep. Nydia Velazquez,NydiaVelazquez
Eliot Engel,RepEliotEngel
Rep. Emanuel Cleaver,repcleaver
Steve Cohen,RepCohen
Rep. Bobby Scott,BobbyScott
Rep. Kay Granger,RepKayGranger
Rep.Grace Napolitano,gracenapolitano
Congressman Al Green,RepAlGreen
David E. Price,RepDavidEPrice
Lloyd Doggett,RepLloydDoggett
Rep. Marcia L. Fudge,RepMarciaFudge
House Budget Dems,HouseBudgetDems
Chris Murphy,ChrisMurphyCT
Bob Brady,RepBrady
Rob Bishop,RepRobBishop
Rosa DeLauro,rosadelauro
"John Conyers, Jr.",RepJohnConyers
Rep. Ted Deutch,RepTedDeutch
Jim McDermott,RepJimMcDermott
Fred Upton,RepFredUpton
Dina Titus,repdinatitus
Rep. Tim Murphy,RepTimMurphy
Sen. Maria Cantwell,SenatorCantwell
JEC Democrats,JECDems
D Wasserman Schultz,DWStweets
Energy and Commerce,HouseCommerce
Rep. Ron Kind,RepRonKind
Rep. Joe Crowley,repjoecrowley
Rep. Gene Green,RepGeneGreen
Diane Black,RepDianeBlack
Sen. Jeanne Shaheen,SenatorShaheen
JEC Republicans,JECRepublicans
Senator Ben Cardin,SenatorCardin
Senate Banking Dems,SenateBanking
Senator Mazie Hirono,maziehirono
Dwight Evans,RepDwightEvans
John Garamendi,RepGaramendi
Mike Lee,SenMikeLee
Rep. Joe Courtney,RepJoeCourtney
Paul Tonko,RepPaulTonko
Senate Energy GOP,EnergyGOP
RepBThompson,BennieGThompson
Sheila Jackson Lee,JacksonLeeTX18
Gerry Connolly,GerryConnolly
Johnny Isakson,SenatorIsakson
HouseRulesCommittee,RulesReps
Sen. Lamar Alexander,SenAlexander
Sen. Debbie Stabenow,SenStabenow
Rep. Robert Aderholt,Robert_Aderholt
Cong. Mike Simpson,CongMikeSimpson
Foreign Affairs Cmte,HouseForeign
Pat Roberts,SenPatRoberts
